FECHA PRECIO,ANIO,MES,DIA,DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO DANE,PRODUCTO,VALOR PRECIO
03 Apr 2023,2023,4,3,CUNDINAMARCA,SOACHA,25754,ACPM,9190
26 Apr 2023,2023,4,26,BOGOTA D.C.,"BOGOTA, D.C.",11001,GASOLINA EXTRA,19690
03 Apr 2023,2023,4,3,ANTIOQUIA,SONSON,05756,ACPM,10180
01 Apr 2023,2023,4,1,TOLIMA,IBAGUE,73001,ACPM,9390
01 Apr 2023,2023,4,1,TOLIMA,IBAGUE,73001,ACPM,9390
01 Apr 2023,2023,4,1,LA GUAJIRA,FONSECA,44279,KEROSENE,9680
20 Apr 2023,2023,4,20,NORTE DE SANTANDER,EL ZULIA,54261,ACPM,9600
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,BUENAVENTURA,76109,GASOLINA EXTRA,20100
26 Apr 2023,2023,4,26,CESAR,AGUACHICA,20011,ACPM,8240
01 Apr 2023,2023,4,1,CESAR,RIO DE ORO,20614,GASOLINA CORRIENTE,10240
01 Apr 2023,2023,4,1,CESAR,RIO DE ORO,20614,GASOLINA CORRIENTE,10240
01 Apr 2023,2023,4,1,BOYACA,AQUITANIA,15047,ACPM,9664
01 Apr 2023,2023,4,1,ATLANTICO,PUERTO COLOMBIA,08573,GASOLINA EXTRA,19890
01 Apr 2023,2023,4,1,HUILA,HOBO,41349,GASOLINA CORRIENTE,11870
06 Apr 2023,2023,4,6,CAUCA,ALMAGUER,19022,ACPM,10200
01 Apr 2023,2023,4,1,ATLANTICO,SOLEDAD,08758,GASOLINA CORRIENTE,11390
14 Apr 2023,2023,4,14,TOLIMA,ESPINAL,73268,ACPM,8920
04 Apr 2023,2023,4,4,ANTIOQUIA,LA ESTRELLA,05380,GASOLINA CORRIENTE,11340
14 Apr 2023,2023,4,14,CESAR,PELAYA,20550,GASOLINA CORRIENTE,10980
04 Apr 2023,2023,4,4,CAQUETA,BELEN DE LOS ANDAQUIES,18094,ACPM,9860
01 Apr 2023,2023,4,1,SUCRE,COROZAL,70215,GASOLINA CORRIENTE,10640
01 Apr 2023,2023,4,1,SUCRE,COROZAL,70215,GASOLINA CORRIENTE,10640
01 Apr 2023,2023,4,1,CASANARE,SAN LUIS DE PALENQUE,85325,ACPM,9710
01 Apr 2023,2023,4,1,CUNDINAMARCA,GIRARDOT,25307,GASOLINA EXTRA,19802
03 Apr 2023,2023,4,3,ANTIOQUIA,MEDELLIN,05001,GASOLINA CORRIENTE,10850
03 Apr 2023,2023,4,3,HUILA,GARZON,41298,GASOLINA EXTRA,19750
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,PALMIRA,76520,GASOLINA CORRIENTE,11153
05 Apr 2023,2023,4,5,BOGOTA D.C.,"BOGOTA, D.C.",11001,ACPM,9320
12 Apr 2023,2023,4,12,CORDOBA,MONTERIA,23001,GASOLINA EXTRA,19740
05 Apr 2023,2023,4,5,CUNDINAMARCA,FUSAGASUGA,25290,ACPM,8870
01 Apr 2023,2023,4,1,CAUCA,SUAREZ,19780,ACPM,9600
09 Apr 2023,2023,4,9,LA GUAJIRA,VILLANUEVA,44874,AVIGAS,9769
03 Apr 2023,2023,4,3,ATLANTICO,PUERTO COLOMBIA,08573,ACPM,9680
28 Apr 2023,2023,4,28,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,11820
28 Apr 2023,2023,4,28,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,11820
28 Apr 2023,2023,4,28,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,11820
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
05 Apr 2023,2023,4,5,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9800
03 Apr 2023,2023,4,3,CAUCA,PURACE,19585,GASOLINA CORRIENTE,11640
03 Apr 2023,2023,4,3,ANTIOQUIA,BELLO,05088,ACPM,10152
01 Apr 2023,2023,4,1,NORTE DE SANTANDER,SAN CALIXTO,54670,ACPM,7600
01 Apr 2023,2023,4,1,NORTE DE SANTANDER,LOS PATIOS,54405,GASOLINA CORRIENTE,11420
12 Apr 2023,2023,4,12,NARIÑO,SAN ANDRES DE TUMACO,52835,ACPM,11500
12 Apr 2023,2023,4,12,NARIÑO,SAN ANDRES DE TUMACO,52835,ACPM,11500
01 Apr 2023,2023,4,1,AMAZONAS,LETICIA,91001,GASOLINA CORRIENTE,12967
10 Apr 2023,2023,4,10,VALLE DEL CAUCA,CALI,76001,GASOLINA CORRIENTE,11218
01 Apr 2023,2023,4,1,HUILA,LA PLATA,41396,GASOLINA CORRIENTE,11640
28 Apr 2023,2023,4,28,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,11817
01 Apr 2023,2023,4,1,META,URIBE,50370,ACPM,10800
01 Apr 2023,2023,4,1,ANTIOQUIA,CAUCASIA,05154,GASOLINA EXTRA,20500
05 Apr 2023,2023,4,5,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,ACPM,7157
19 Apr 2023,2023,4,19,RISARALDA,PEREIRA,66001,ACPM,9010
02 Apr 2023,2023,4,2,PUTUMAYO,ORITO,86320,GASOLINA CORRIENTE,10850
03 Apr 2023,2023,4,3,RISARALDA,MARSELLA,66440,ACPM,9290
03 Apr 2023,2023,4,3,ANTIOQUIA,YOLOMBO,05890,ACPM,9000
03 Apr 2023,2023,4,3,CUNDINAMARCA,CHIA,25175,GASOLINA EXTRA,19990
04 Apr 2023,2023,4,4,BOGOTA D.C.,"BOGOTA, D.C.",11001,GASOLINA EXTRA,12310
04 Apr 2023,2023,4,4,CESAR,PAILITAS,20517,GASOLINA CORRIENTE,9400
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,CALI,76001,ACPM,9450
03 Apr 2023,2023,4,3,TOLIMA,SAN SEBASTIAN DE MARIQUITA,73443,ACPM,9185
03 Apr 2023,2023,4,3,CASANARE,PORE,85263,GASOLINA CORRIENTE,11790
03 Apr 2023,2023,4,3,HUILA,NEIVA,41001,ACPM,9280
05 Apr 2023,2023,4,5,VALLE DEL CAUCA,LA VICTORIA,76403,ACPM,8860
14 Apr 2023,2023,4,14,VALLE DEL CAUCA,YUMBO,76892,GASOLINA CORRIENTE,11050
11 Apr 2023,2023,4,11,NARIÑO,LEIVA,52405,GASOLINA CORRIENTE,11700
01 Apr 2023,2023,4,1,CUNDINAMARCA,EL ROSAL,25260,GASOLINA CORRIENTE,10910
03 Apr 2023,2023,4,3,SANTANDER,BARICHARA,68079,GASOLINA CORRIENTE,11365
19 Apr 2023,2023,4,19,VICHADA,CUMARIBO,99773,ACPM,9500
03 Apr 2023,2023,4,3,BOLIVAR,EL CARMEN DE BOLIVAR,13244,GASOLINA CORRIENTE,11550
03 Apr 2023,2023,4,3,BOLIVAR,EL CARMEN DE BOLIVAR,13244,GASOLINA CORRIENTE,11550
01 Apr 2023,2023,4,1,ANTIOQUIA,ARBOLETES,05051,GASOLINA CORRIENTE,11470
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,PALMIRA,76520,GASOLINA CORRIENTE,11090
17 Apr 2023,2023,4,17,NARIÑO,SAN PABLO,52693,ACPM,8700
17 Apr 2023,2023,4,17,NARIÑO,SAN PABLO,52693,ACPM,8700
03 Apr 2023,2023,4,3,ANTIOQUIA,ZARAGOZA,05895,GASOLINA CORRIENTE,11830
03 Apr 2023,2023,4,3,ANTIOQUIA,ZARAGOZA,05895,GASOLINA CORRIENTE,11830
01 Apr 2023,2023,4,1,TOLIMA,IBAGUE,73001,GASOLINA CORRIENTE,10850
02 Apr 2023,2023,4,2,CORDOBA,SAHAGUN,23660,GASOLINA CORRIENTE,11600
01 Apr 2023,2023,4,1,CUNDINAMARCA,CHIA,25175,ACPM,9162
03 Apr 2023,2023,4,3,CASANARE,PAZ DE ARIPORO,85250,ACPM,9570
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,CANDELARIA,76130,GASOLINA CORRIENTE,11430
01 Apr 2023,2023,4,1,CHOCO,QUIBDO,27001,GASOLINA CORRIENTE,12010
03 Apr 2023,2023,4,3,CUNDINAMARCA,COTA,25214,ACPM,9350
03 Apr 2023,2023,4,3,CUNDINAMARCA,COTA,25214,ACPM,9350
24 Apr 2023,2023,4,24,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,54001,GASOLINA CORRIENTE,11796
24 Apr 2023,2023,4,24,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,54001,GASOLINA CORRIENTE,11796
01 Apr 2023,2023,4,1,CALDAS,MARMATO,17442,GASOLINA CORRIENTE,11050
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,CALI,76001,GASOLINA CORRIENTE,11470
01 Apr 2023,2023,4,1,CORDOBA,MONTERIA,23001,GASOLINA EXTRA,19810
03 Apr 2023,2023,4,3,LA GUAJIRA,MANAURE,44560,AVIGAS,9022
03 Apr 2023,2023,4,3,LA GUAJIRA,MANAURE,44560,AVIGAS,9022
16 Apr 2023,2023,4,16,META,VILLAVICENCIO,50001,ACPM,10540
23 Apr 2023,2023,4,23,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,54001,GASOLINA CORRIENTE,11640
03 Apr 2023,2023,4,3,HUILA,ISNOS,41359,ACPM,9800
03 Apr 2023,2023,4,3,HUILA,ISNOS,41359,ACPM,9800
28 Apr 2023,2023,4,28,CESAR,AGUACHICA,20011,GASOLINA EXTRA,19998
25 Apr 2023,2023,4,25,CESAR,LA PAZ,20621,GASOLINA CORRIENTE,9740
12 Apr 2023,2023,4,12,CESAR,AGUACHICA,20011,ACPM,8250
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,RESTREPO,76606,ACPM,9650
14 Apr 2023,2023,4,14,PUTUMAYO,ORITO,86320,GASOLINA CORRIENTE,12360
04 Apr 2023,2023,4,4,ANTIOQUIA,PUERTO BERRIO,05579,GASOLINA EXTRA,19200
05 Apr 2023,2023,4,5,ATLANTICO,BARRANQUILLA,08001,GASOLINA CORRIENTE,10840
05 Apr 2023,2023,4,5,ATLANTICO,BARRANQUILLA,08001,GASOLINA CORRIENTE,10840
01 Apr 2023,2023,4,1,META,VILLAVICENCIO,50001,GASOLINA EXTRA,20140
28 Apr 2023,2023,4,28,LA GUAJIRA,DIBULLA,44090,KEROSENE,11862
